active_period,Operating_Airline,Operating_Airline_IATA_Code,Published_Airline,Published_Airline_IATA_Code,GEO_Summary,GEO_Region,Landing_Aircraft_Type,Aircraft_Body_Type,Aircraft_Manufacturer,Aircraft_Model,Aircraft_Version,Landing_Count,Total_Landed_Weight
201806,"Alaska Airlines",AS,"Alaska Airlines",AS,International,Mexico,Passenger,"Narrow Body",Boeing,B739,-,1,157300
201806,"United Airlines",UA,"United Airlines",UA,International,Europe,Passenger,"Wide Body",Boeing,B773,-,61,33794000
201806,"SkyWest Airlines",OO,"Delta Air Lines",DL,Domestic,US,Passenger,"Regional Jet",Embraer,E175,-,1,74957
201806,"SAS Airlines",SK,"SAS Airlines",SK,International,Europe,Passenger,"Wide Body",Airbus,A343,-,30,12698611
201806,"China Airlines",CI,"China Airlines",CI,International,Asia,Passenger,"Wide Body",Boeing,B773,-,30,16620000
201806,"Thomas Cook Airlines",MT,"Thomas Cook Airlines",MT,International,Europe,Passenger,"Wide Body",Airbus,A332,-,12,4742143
201806,"United Airlines",UA,"United Airlines",UA,International,Canada,Passenger,"Narrow Body",Airbus,A319,-,16,2204624
201806,"American Airlines",AA,"American Airlines",AA,Domestic,US,Passenger,"Wide Body",Airbus,A332,-,25,9920000
201806,"Lufthansa German Airlines",LH,"Lufthansa German Airlines",LH,International,Europe,Passenger,"Wide Body",Airbus,A388,-,30,25926350
201806,"United Airlines",UA,"United Airlines",UA,Domestic,US,Passenger,"Narrow Body",Boeing,B739,-,1299,204232700
201806,"SkyWest Airlines",OO,"United Airlines",UA,Domestic,US,Passenger,"Regional Jet",Bombardier,CRJ7,-,230,15410000
201806,"Air France",AF,"Air France",AF,International,Europe,Passenger,"Wide Body",Airbus,A388,-,29,24678536
201806,"SkyWest Airlines",OO,"Alaska Airlines",AS,Domestic,US,Passenger,"Regional Jet",Embraer,E170,-,105,7870485
201806,"Singapore Airlines",SQ,"Singapore Airlines",SQ,International,Asia,Passenger,"Wide Body",Airbus,A359,-,30,13690710
201806,"Japan Airlines",JL,"Japan Airlines",JL,International,Asia,Passenger,"Wide Body",Boeing,B773,-,30,16620000
201806,"Singapore Airlines",SQ,"Singapore Airlines",SQ,International,Asia,Passenger,"Wide Body",Boeing,B773,-,30,16620000
201806,"Air Canada",AC,"Air Canada",AC,International,Canada,Passenger,"Wide Body",Boeing,B788,-,2,760000
201806,"Frontier Airlines",F9,"Frontier Airlines",F9,Domestic,US,Passenger,"Narrow Body",Airbus,A319,-,27,3654163
201806,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,Passenger,"Narrow Body",Boeing,B737,-,1148,146945200
201806,"Alaska Airlines",AS,"Alaska Airlines",AS,Domestic,US,Passenger,"Narrow Body",Boeing,B739,-,123,19171900
201806,"United Airlines",UA,"United Airlines",UA,Domestic,US,Passenger,"Narrow Body",Boeing,B738,-,1069,156394700
201806,"Delta Air Lines",DL,"Delta Air Lines",DL,Domestic,US,Passenger,"Narrow Body",Boeing,B739,-,332,52223600
201806,"Frontier Airlines",F9,"Frontier Airlines",F9,Domestic,US,Passenger,"Narrow Body",Airbus,A320,-,8,1140891
201806,"Frontier Airlines",F9,"Frontier Airlines",F9,Domestic,US,Passenger,"Narrow Body",Airbus,A321,-,18,3087360
201806,"Delta Air Lines",DL,"Delta Air Lines",DL,Domestic,US,Passenger,"Narrow Body",Airbus,A321,-,32,5488640
201806,"United Airlines",UA,"United Airlines",UA,Domestic,US,Passenger,"Wide Body",Boeing,B788,-,25,9500000
201806,"Air France",AF,"Air France",AF,International,Europe,Passenger,"Wide Body",Boeing,B773,-,17,9418000
201806,"China Airlines",CI,"China Airlines",CI,International,Asia,Freighter,"Wide Body",Boeing,B744,-,25,16650000
201806,"United Airlines",UA,"United Airlines",UA,International,Europe,Passenger,"Wide Body",Boeing,B789,-,60,25500000
201806,"United Airlines",UA,"United Airlines",UA,International,Asia,Passenger,"Wide Body",Boeing,B788,-,41,15580000
201806,"United Airlines",UA,"United Airlines",UA,International,Mexico,Passenger,"Narrow Body",Airbus,A320,-,78,11091444
201806,"Alaska Airlines",AS,"Alaska Airlines",AS,Domestic,US,Passenger,"Narrow Body",Airbus,A320,-,1575,224987020
201806,"Air Canada",AC,"Air Canada",AC,International,Canada,Passenger,"Narrow Body",Airbus,A321,-,15,2572800
201806,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,"Wide Body",Boeing,B762,-,20,5440000
201806,"Volaris Airlines",Y4,"Volaris Airlines",Y4,International,Mexico,Passenger,"Narrow Body",Airbus,A320,-,18,2628351
201806,"XL Airways France",SE,"XL Airways France",SE,International,Europe,Passenger,"Wide Body",Airbus,A332,-,4,1604964
201806,"Alaska Airlines",AS,"Alaska Airlines",AS,International,US,Passenger,"Narrow Body",Airbus,A321,-,126,22000356
201806,"SkyWest Airlines",OO,"United Airlines",UA,Domestic,US,Passenger,"Regional Jet",Embraer,E170,-,1607,120455899
201806,"Air Canada",AC,"Air Canada",AC,International,Canada,Passenger,"Wide Body",Boeing,B789,-,45,19125000
201806,"KLM Royal Dutch Airlines",KL,"KLM Royal Dutch Airlines",KL,International,Europe,Passenger,"Wide Body",Boeing,B744,-,30,18900000
201806,"United Airlines",UA,"United Airlines",UA,International,Europe,Passenger,"Wide Body",Boeing,B788,-,23,8740000
201806,"Delta Air Lines",DL,"Delta Air Lines",DL,Domestic,US,Passenger,"Narrow Body",Boeing,B753,-,148,33152000
201806,"KLM Royal Dutch Airlines",KL,"KLM Royal Dutch Airlines",KL,International,Europe,Passenger,"Wide Body",Boeing,B789,-,17,7225000
201806,"Delta Air Lines",DL,"Delta Air Lines",DL,Domestic,US,Passenger,"Narrow Body",Boeing,B738,-,155,22676500
201806,"WOW Air",WW,"WOW Air",WW,International,Europe,Passenger,"Wide Body",Airbus,A333,-,30,12235650
201806,"SkyWest Airlines",OO,"United Airlines",UA,International,Canada,Passenger,"Regional Jet",Embraer,E170,-,36,2698452
201806,"Delta Air Lines",DL,"Delta Air Lines",DL,Domestic,US,Passenger,"Wide Body",Boeing,B764,-,28,9800000
201806,"EVA Airways",BR,"EVA Airways",BR,International,Asia,Passenger,"Wide Body",Boeing,B773,-,80,44320000
201806,"United Airlines",UA,"United Airlines",UA,International,Canada,Passenger,"Narrow Body",Boeing,B738,-,42,6144600
201806,"Sun Country Airlines",SY,"Sun Country Airlines",SY,Domestic,US,Passenger,"Narrow Body",Boeing,B737,-,28,3617600
201806,"Turkish Airlines",TK,"Turkish Airlines",TK,International,Europe,Passenger,"Wide Body",Boeing,B773,-,30,16620000
201806,"United Airlines",UA,"United Airlines",UA,International,"Middle East",Passenger,"Wide Body",Boeing,B773,-,28,15512000
201806,"Korean Air Lines",KE,"Korean Air Lines",KE,International,Asia,Freighter,"Wide Body",Boeing,B748,-,26,19838000
201806,"Alaska Airlines",AS,"Alaska Airlines",AS,International,Mexico,Passenger,"Narrow Body",Airbus,A320,-,94,13488971
201806,"JetBlue Airways",B6,"JetBlue Airways",B6,Domestic,US,Passenger,"Narrow Body",Airbus,A321,-,377,64663040
201806,"American Airlines",AA,"American Airlines",AA,Domestic,US,Passenger,"Narrow Body",Airbus,A321,-,915,156922500
201806,"Alaska Airlines",AS,"Alaska Airlines",AS,Domestic,US,Passenger,"Narrow Body",Boeing,B738,-,151,21744000
201806,"SkyWest Airlines",OO,"United Airlines",UA,Domestic,US,Passenger,"Regional Jet",Embraer,E175,-,8,599656
201806,"Air Canada",AC,"Air Canada",AC,International,Canada,Passenger,"Wide Body",Boeing,B772,-,6,2952000
201806,"Lufthansa German Airlines",LH,"Lufthansa German Airlines",LH,International,Europe,Passenger,"Wide Body",Airbus,A346,-,30,17129910
201806,"United Airlines",UA,"United Airlines",UA,Domestic,US,Passenger,"Narrow Body",Boeing,B753,-,417,93408000
201806,"United Airlines",UA,"United Airlines",UA,International,Asia,Passenger,"Wide Body",Boeing,B789,-,151,64175000
201806,"Air China",CA,"Air China",CA,International,Asia,Passenger,"Wide Body",Boeing,B748,-,30,20640000
201806,"WestJet Airlines",WS,"WestJet Airlines",WS,International,Canada,Passenger,"Narrow Body",Boeing,B736,-,3,361500
201806,"Delta Air Lines",DL,"Delta Air Lines",DL,Domestic,US,Passenger,"Narrow Body",Boeing,B752,-,311,61578000
201806,"United Airlines",UA,"United Airlines",UA,International,Europe,Passenger,"Wide Body",Boeing,B772,-,59,27140000
201806,"Air France",AF,"Air France",AF,International,Europe,Passenger,"Wide Body",Boeing,B772,-,2,920208
201806,"Nippon Cargo Airlines",KZ,"Nippon Cargo Airlines",KZ,International,Asia,Freighter,"Wide Body",Boeing,B748,-,8,6104000
201806,"United Airlines",UA,"United Airlines",UA,International,Asia,Passenger,"Wide Body",Boeing,B772,-,3,1390000
201806,"Alaska Airlines",AS,"Alaska Airlines",AS,Domestic,US,Passenger,"Narrow Body",Airbus,A319,-,336,46296764
201806,"Compass Airlines",CP,"American Airlines",AA,Domestic,US,Passenger,"Regional Jet",Embraer,E170,-,288,21651264
201806,"Horizon Air",QX,"Alaska Airlines",AS,Domestic,US,Passenger,"Regional Jet",Embraer,E170,-,89,6678245
201806,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,"Wide Body",Boeing,B744,-,9,5868000
201806,"SkyWest Airlines",OO,"Delta Air Lines",DL,Domestic,US,Passenger,"Regional Jet",Embraer,E170,-,39,2923323
201806,"British Airways",BA,"British Airways",BA,International,Europe,Passenger,"Wide Body",Airbus,A388,-,29,24998203
201806,"United Airlines",UA,"United Airlines",UA,International,Asia,Passenger,"Wide Body",Boeing,B773,-,120,66480000
201806,"Air France",AF,"Air France",AF,International,Europe,Passenger,"Wide Body",Boeing,B772,-,6,2760624
201806,"SkyWest Airlines",OO,"United Airlines",UA,International,Canada,Passenger,"Regional Jet",Bombardier,CRJ2,-,36,1692000
201806,"Korean Air Lines",KE,"Korean Air Lines",KE,International,Asia,Passenger,"Wide Body",Boeing,B789,-,30,12750000
201806,"Air New Zealand",NZ,"Air New Zealand",NZ,International,"Australia / Oceania",Passenger,"Wide Body",Boeing,B773,-,23,12742000
201806,"Korean Air Lines",KE,"Korean Air Lines",KE,International,Asia,Passenger,"Wide Body",Boeing,B748,-,30,20460000
201806,"Hawaiian Airlines",HA,"Hawaiian Airlines",HA,Domestic,US,Passenger,"Wide Body",Airbus,A332,-,61,24475701
201806,"Air Canada",AC,"Air Canada",AC,International,Canada,Passenger,"Wide Body",Boeing,B773,-,7,3878000
201806,"United Airlines",UA,"United Airlines",UA,International,Canada,Passenger,"Narrow Body",Airbus,A320,-,48,6825504
201806,"United Airlines",UA,"United Airlines",UA,International,Canada,Passenger,"Narrow Body",Boeing,B739,-,58,9123400
201806,"Qantas Airways",QF,"Qantas Airways",QF,International,"Australia / Oceania",Passenger,"Wide Body",Boeing,B744,-,26,16464000
201806,"All Nippon Airways",NH,"All Nippon Airways",NH,International,Asia,Passenger,"Wide Body",Boeing,B773,-,30,16620000
201806,"United Airlines",UA,"United Airlines",UA,Domestic,US,Passenger,"Narrow Body",Boeing,B738,-,258,37745400
201806,"United Airlines",UA,"United Airlines",UA,Domestic,US,Passenger,"Wide Body",Boeing,B763,-,3,960000
201806,"Philippine Airlines",PR,"Philippine Airlines",PR,International,Asia,Passenger,"Wide Body",Boeing,B773,-,30,16620000
201806,"Delta Air Lines",DL,"Delta Air Lines",DL,Domestic,US,Passenger,"Narrow Body",Airbus,A319,-,37,4975834
201806,"SkyWest Airlines",OO,"United Airlines",UA,Domestic,US,Passenger,"Regional Jet",Bombardier,CRJ2,-,878,41266000
201806,"Icelandair EHF",FI,"Icelandair EHF",FI,International,Europe,Passenger,"Wide Body",Boeing,B763,-,17,5440000
201806,"WestJet Airlines",WS,"WestJet Airlines",WS,International,Canada,Passenger,"Narrow Body",Boeing,B737,-,71,9173200
201806,"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,"Central America",Passenger,"Narrow Body",Boeing,B738,-,77,11265100
201806,"Philippine Airlines",PR,"Philippine Airlines",PR,International,Asia,Passenger,"Wide Body",Airbus,A343,-,14,5864292
201806,"Kalitta Air",K4,"Kalitta Air",K4,Domestic,US,Freighter,"Wide Body",Boeing,B744,-,3,1956000
201806,"Delta Air Lines",DL,"Delta Air Lines",DL,Domestic,US,Passenger,"Wide Body",Airbus,A332,-,1,401241
201806,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,"Wide Body",Boeing,B763,-,22,7106000
201806,"Asiana Airlines",OZ,"Asiana Airlines",OZ,International,Asia,Passenger,"Wide Body",Airbus,A359,-,30,13558440
201806,"Asiana Airlines",OZ,"Asiana Airlines",OZ,International,Asia,Freighter,"Wide Body",Boeing,B744,-,25,16260000
201806,"Delta Air Lines",DL,"Delta Air Lines",DL,Domestic,US,Passenger,"Narrow Body",Boeing,B712,-,281,30910000
201806,"Air India Limited",AI,"Air India Limited",AI,International,Asia,Passenger,"Wide Body",Boeing,B773,-,6,3324000
201806,"United Airlines",UA,"United Airlines",UA,Domestic,US,Passenger,"Wide Body",Boeing,B772,-,252,112185000
201806,"United Airlines",UA,"United Airlines",UA,International,"Australia / Oceania",Passenger,"Wide Body",Boeing,B789,-,30,12750000
201806,"American Airlines",AA,"American Airlines",AA,Domestic,US,Passenger,"Narrow Body",Boeing,B738,-,205,29520000
201806,"British Airways",BA,"British Airways",BA,International,Europe,Passenger,"Wide Body",Boeing,B744,-,31,19493043
201806,"United Airlines",UA,"United Airlines",UA,International,Mexico,Passenger,"Narrow Body",Airbus,A319,-,11,1515679
201806,"Air India Limited",AI,"Air India Limited",AI,International,Asia,Passenger,"Wide Body",Boeing,B772,-,33,16236000
201806,"United Airlines",UA,"United Airlines",UA,Domestic,US,Passenger,"Narrow Body",Airbus,A320,-,1538,216227075
201806,"United Airlines",UA,"United Airlines",UA,Domestic,US,Passenger,"Narrow Body",Boeing,B737,-,2,258400
201805,"Korean Air Lines",KE,"Korean Air Lines",KE,International,Asia,Passenger,"Wide Body",Boeing,B748,-,31,21142000
201805,"Frontier Airlines",F9,"Frontier Airlines",F9,Domestic,US,Passenger,"Narrow Body",Airbus,A320,-,9,1286396
201805,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,"Wide Body",Boeing,B763,-,23,7344000
201805,"British Airways",BA,"British Airways",BA,International,Europe,Passenger,"Wide Body",Boeing,B744,-,31,19530000
201805,"SkyWest Airlines",OO,"United Airlines",UA,International,Canada,Passenger,"Regional Jet",Bombardier,CRJ2,-,59,2773000
201805,"Delta Air Lines",DL,"Delta Air Lines",DL,Domestic,US,Passenger,"Narrow Body",Boeing,B739,-,150,23595000
201805,"United Airlines",UA,"United Airlines",UA,Domestic,US,Passenger,"Narrow Body",Boeing,B752,-,600,118800000
201805,"Lufthansa German Airlines",LH,"Lufthansa German Airlines",LH,International,Europe,Passenger,"Wide Body",Airbus,A388,-,31,26768515
201805,"SkyWest Airlines",OO,"United Airlines",UA,Domestic,US,Passenger,"Regional Jet",Bombardier,CRJ2,-,1217,57199000
201805,"United Airlines",UA,"United Airlines",UA,International,Asia,Passenger,"Wide Body",Boeing,B789,-,155,65875000
201805,"Philippine Airlines",PR,"Philippine Airlines",PR,International,Asia,Passenger,"Wide Body",Airbus,A343,-,13,5445414
201805,"Delta Air Lines",DL,"Delta Air Lines",DL,Domestic,US,Passenger,"Narrow Body",Boeing,B752,-,455,90090000
201805,"United Airlines",UA,"United Airlines",UA,Domestic,US,Passenger,"Wide Body",Boeing,B763,-,1,320000
201805,"United Airlines",UA,"United Airlines",UA,International,Mexico,Passenger,"Narrow Body",Boeing,B739,-,35,5505500
201805,"Alaska Airlines",AS,"Alaska Airlines",AS,Domestic,US,Passenger,"Narrow Body",Airbus,A320,-,1705,243548821
201805,"Air France",AF,"Air France",AF,International,Europe,Passenger,"Wide Body",Airbus,A388,-,31,26380504
201805,"Qantas Airways",QF,"Qantas Airways",QF,International,"Australia / Oceania",Passenger,"Wide Body",Boeing,B744,-,26,16492000
201805,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Passenger,"Wide Body",Boeing,B763,-,1,326000
201805,"SkyWest Airlines",OO,"Delta Air Lines",DL,Domestic,US,Passenger,"Regional Jet",Bombardier,CRJ9,-,2,150200
201805,"Air France",AF,"Air France",AF,International,Europe,Passenger,"Wide Body",Boeing,B773,-,5,2770000
201805,"JetBlue Airways",B6,"JetBlue Airways",B6,Domestic,US,Passenger,"Narrow Body",Airbus,A321,-,389,66721280
201805,"Air Canada",AC,"Air Canada",AC,International,Canada,Passenger,"Narrow Body",Boeing,B738,-,75,11460000
201805,"KLM Royal Dutch Airlines",KL,"KLM Royal Dutch Airlines",KL,International,Europe,Passenger,"Wide Body",Boeing,B744,-,31,19530000
201805,"SkyWest Airlines",OO,"Alaska Airlines",AS,Domestic,US,Passenger,"Regional Jet",Embraer,E170,-,94,7045958
201805,"Frontier Airlines",F9,"Frontier Airlines",F9,Domestic,US,Passenger,"Narrow Body",Airbus,A320,-,17,2513716
201805,"United Airlines",UA,"United Airlines",UA,Domestic,US,Passenger,"Wide Body",Boeing,B788,-,30,11400000
201805,"Singapore Airlines",SQ,"Singapore Airlines",SQ,International,Asia,Passenger,"Wide Body",Airbus,A359,-,31,14147067
201805,"Compass Airlines",CP,"American Airlines",AA,Domestic,US,Passenger,"Regional Jet",Embraer,E170,-,341,25635698
201805,"United Airlines",UA,"United Airlines",UA,Domestic,US,Passenger,"Narrow Body",Boeing,B739,-,1318,207181400
201805,"Alaska Airlines",AS,"Alaska Airlines",AS,International,Mexico,Passenger,"Narrow Body",Boeing,B739,-,2,292600
201805,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,"Wide Body",Boeing,B744,-,7,4564000
201805,"SAS Airlines",SK,"SAS Airlines",SK,International,Europe,Passenger,"Wide Body",Airbus,A343,-,31,13121897
201805,"United Airlines",UA,"United Airlines",UA,International,Canada,Passenger,"Narrow Body",Airbus,A320,-,5,710990
201805,"SkyWest Airlines",OO,"United Airlines",UA,International,Canada,Passenger,"Regional Jet",Embraer,E170,-,62,4647334
201805,"United Airlines",UA,"United Airlines",UA,International,"Middle East",Passenger,"Wide Body",Boeing,B773,-,8,4432000
201805,"Turkish Airlines",TK,"Turkish Airlines",TK,International,Europe,Passenger,"Wide Body",Boeing,B773,-,31,17174000
201805,"Alaska Airlines",AS,"Alaska Airlines",AS,International,Mexico,Passenger,"Narrow Body",Boeing,B738,-,22,3168000
201805,"China Airlines",CI,"China Airlines",CI,International,Asia,Passenger,"Wide Body",Boeing,B773,-,31,17174000
201805,"United Airlines",UA,"United Airlines",UA,Domestic,US,Passenger,"Wide Body",Boeing,B773,-,13,7202000
201805,"Air New Zealand",NZ,"Air New Zealand",NZ,International,"Australia / Oceania",Passenger,"Wide Body",Boeing,B773,-,15,8310000
201805,"JetBlue Airways",B6,"JetBlue Airways",B6,Domestic,US,Passenger,"Narrow Body",Airbus,A320,-,120,17129900
201805,"Alaska Airlines",AS,"Alaska Airlines",AS,Domestic,US,Passenger,"Narrow Body",Boeing,B738,-,184,26496000
201805,"Delta Air Lines",DL,"Delta Air Lines",DL,Domestic,US,Passenger,"Narrow Body",Boeing,B753,-,150,33600000
201805,"Air India Limited",AI,"Air India Limited",AI,International,Asia,Passenger,"Wide Body",Boeing,B772,-,35,17220000
201805,"Delta Air Lines",DL,"Delta Air Lines",DL,Domestic,US,Passenger,"Narrow Body",Airbus,A319,-,42,5648244
201805,"Air Canada",AC,"Air Canada",AC,International,Canada,Passenger,"Narrow Body",Airbus,A321,-,18,3087360
201805,"Air Pacific Limited dba Fiji Airways",FJ,"Air Pacific Limited dba Fiji Airways",FJ,International,"Australia / Oceania",Passenger,"Wide Body",Airbus,A332,-,9,3571488
201805,"Asiana Airlines",OZ,"Asiana Airlines",OZ,International,Asia,Freighter,"Wide Body",Boeing,B744,-,29,18940000
201805,"Alaska Airlines",AS,"Alaska Airlines",AS,International,Mexico,Passenger,"Narrow Body",Airbus,A319,-,1,137788
201805,"EVA Airways",BR,"EVA Airways",BR,International,Asia,Passenger,"Wide Body",Boeing,B773,-,79,43766000
201805,"Alaska Airlines",AS,"Alaska Airlines",AS,Domestic,US,Passenger,"Narrow Body",Airbus,A319,-,242,33344696
201805,"Nippon Cargo Airlines",KZ,"Nippon Cargo Airlines",KZ,International,Asia,Freighter,"Wide Body",Boeing,B748,-,14,10682000
201805,"American Airlines",AA,"American Airlines",AA,Domestic,US,Passenger,"Narrow Body",Airbus,A320,-,31,4408138
201805,"Air Canada",AC,"Air Canada",AC,International,Canada,Passenger,"Wide Body",Boeing,B773,-,1,554000
201805,"Asiana Airlines",OZ,"Asiana Airlines",OZ,International,Asia,Passenger,"Wide Body",Airbus,A359,-,31,14010388
201805,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,"Wide Body",Boeing,B762,-,22,5984000
201805,"SkyWest Airlines",OO,"United Airlines",UA,Domestic,US,Passenger,"Regional Jet",Embraer,E170,-,1065,79829205
201805,"Lufthansa German Airlines",LH,"Lufthansa German Airlines",LH,International,Europe,Passenger,"Wide Body",Airbus,A346,-,31,17700907
201805,"United Airlines",UA,"United Airlines",UA,International,Europe,Passenger,"Wide Body",Boeing,B789,-,33,14025000
